TEAM,G,W,SEED,ADJOE,ADJDE,BARTHAG,EFG_O,EFG_D,TOR,TORD,ORB,DRB,FTR,FTRD,2P_O,2P_D,3P_O,3P_D,ADJ_T,WAB
Houston,34,30,1,124.89,88.01,.98231,52.788,44.94,14.625,21.717,36.115,29.3157,28.2315,34.1211,49.0267,43.95,39.82,30.933,61.4360,11.62
Duke,34,31,1,128.52,91.34,.98072,57.45,44.53,14.419,17.7134,35.235,26.536,32.1201,25.421,58.08,43.43,37.720,30.933,65.7267,9.65
Auburn,33,28,1,129.01,93.712,.97563,55.725,46.011,13.46,17.4155,34.351,30.3211,33.5166,39.2312,56.130,47.241,36.839,29.25,67.8143,12.51
Florida,34,30,1,127.73,94.013,.97134,55.037,45.36,15.036,17.0184,38.18,28.8126,32.6188,33.0176,56.427,45.914,35.583,29.67,69.564,11.13
Alabama,33,25,2,127.64,96.428,.96215,56.314,47.950,16.7149,13.5348,34.739,29.2149,40.125,33.9206,59.74,48.892,35.0107,30.829,74.61,9.84
Tennessee,34,27,2,119.319,91.13,.95706,52.884,44.41,16.095,17.8126,35.428,30.1202,35.4110,29.485,54.166,46.729,34.0164,27.81,63.8336,9.36
Texas Tech,33,25,3,126.06,96.732,.95467,55.527,48.053,14.830,17.4155,34.351,28.5108,29.7280,33.5196,54.363,48.269,37.919,31.761,65.6273,5.811
Iowa St.,33,24,3,118.920,92.38,.94818,54.644,48.463,16.9159,21.814,32.2107,28.4102,38.540,28.974,55.144,47.550,35.867,33.2130,68.5106,5.414
Arizona,34,22,4,123.910,96.530,.94699,52.983,48.674,16.2108,16.6212,35.919,28.5108,36.671,29.280,55.144,47.241,32.4247,33.6168,69.952,5.415
Maryland,33,25,4,117.828,92.06,.944910,53.857,47.025,14.523,20.238,31.0146,27.255,32.9180,25.926,52.7114,47.653,37.228,30.725,69.854,4.622
Gonzaga,33,25,8,123.312,96.429,.944111,55.725,47.537,13.24,18.2103,32.795,26.434,30.9245,28.667,57.810,49.1106,34.4145,30.215,70.147,2.733
Wisconsin,35,26,3,122.414,96.126,.941812,53.663,47.950,14.117,14.5331,28.0237,26.641,33.8153,28.155,54.750,46.832,34.9117,33.0123,67.5163,5.91
